geo_lat,geo_lon
59.958459,30.2155295
45.072674,41.936996
59.9393594,30.4370682
59.7404781,30.5695393
56.3240627,44.0053913
55.8039089,38.4336591
59.96362,30.281642
52.0657551,113.3647938
55.722482,37.774804
45.0448141,41.9153991
54.3079415,48.3748487
56.8009617,60.4915428
51.3237575,37.8931294
59.9762,30.3163399
55.102112,82.975353
56.1110245,47.3278184
54.979454,83.05062
55.0176723,83.003522
42.8916007,47.6367066
47.2224566,39.718803
45.0855531,39.0446268
54.946526,82.97303
45.0673233,39.0231442
56.8666577,60.5754401
56.8647893,60.5380762
56.9160261,53.3227573
43.0489862,44.6411961
55.796389,37.938283
59.85773,30.15356
45.0332226,38.9709232
56.322384,38.136707
60.950855,29.1308372
54.9347251,82.8975683
54.945053,82.96937
56.7451856,38.8807083
54.806168,56.105106
55.8856524,37.2682723
54.944957,82.96274
47.24772,39.753335
55.033871,82.9693096
43.6183488,39.755026
55.1863156,61.4134273
55.9867084,37.7210462
45.2688694,38.1592732
55.668214,37.739177
45.018933,39.038204
57.5820607,39.9214332
54.94397,82.963594
59.939084,30.315879
54.94443,82.95908
54.9438939,82.9668414
55.690547,37.721642
43.73,44.667021
56.5199903,38.0893343
44.898317,37.354429
60.008846,30.411862
54.945236,82.961357
55.1168068,61.6099421
55.1366411,61.680637
55.0636161,82.9116004
60.040271,30.4276235
54.173026,45.1837912
57.2046606,65.6021751
55.1968048,61.3036128
55.17813,61.350803
54.723653,20.4339353
59.939084,30.315879
63.5712623,53.6412574
59.982522,30.322105
45.099021,38.973912
52.7213154,41.452264
56.89857,60.63623
54.9342563,82.9168149
55.6050549,37.9673677
45.081185,39.003224
54.8908151,38.0907911
55.0169091,83.0067324
54.1394807,45.2630877
59.8956097,30.4221649
45.0905966,39.0325147
55.0303931,83.0155452
56.8903222,60.5914555
55.7957379,37.7829779
43.6805329,40.2072545
59.9983039,30.1999425
54.734856,55.957856
56.2341324,43.4049197
56.1094977,47.4791113
47.2304701,39.6948772
55.0325299,82.9358049
55.703129,37.960864
53.540582,49.3946988
61.6577739,50.8283536
58.530502,31.279087
57.1302639,65.6104559
50.2003104,39.566152
60.1523797,59.9537381
55.013916,83.00329
45.101643,38.930317
55.0492116,82.9048522
56.3456865,43.8704601
55.7943584,49.1114975
55.7511724,49.2447715
55.196565,61.3104658
54.1881226,45.2351348
55.043757,82.983743
59.9711785,30.4236789
55.036873,82.99324
55.8757468,37.7158048
47.2401171,39.8165423
56.9679136,40.9804854
56.8616513,60.6266754
54.9550615,82.9645459
56.312685,38.142206
44.1502618,43.4719805
54.7026326,55.8653604
54.7562374,83.1162148
55.7030628,37.962524
59.906242,30.317494
45.11149,39.041779
53.429761,58.9798607
55.029301,82.910342
55.7574706,49.2384522
56.2762888,43.9432875
55.036217,82.90877
44.8828257,37.3354416
56.283993,43.929497
55.1843462,61.3275718
55.1881015,61.3790387
55.1763242,61.4637596
55.0128684,82.9999987
50.6048638,36.6017093
55.7768888,37.2428195
54.73224,20.5611
55.9139647,37.7110096
55.1229817,61.581992
55.720134,49.18728
56.6972951,60.7976385
54.9846681,83.0410325
55.8608774,37.388701
55.0303931,83.0155452
60.025462,30.3243998
55.9391824,37.3493109
44.9057109,37.3423728
54.7682173,56.0332948
47.3190928,39.6822513
55.8636897,49.2249974
56.1155796,93.3330588
54.9996553,83.0075011
55.7943584,49.1114975
55.6695837,37.7712617
55.8869868,38.442323
44.99214,39.0704748
55.676103,37.861321
47.2090065,39.6432662
54.9878974,83.0412534
55.013916,83.00329
55.559043,37.816396
55.7660781,37.220233
54.9471407,82.9585961
57.1895336,65.6168308
45.063432,38.995714
55.0128684,82.9999987
55.02795,82.94475
55.50282,47.4690007
55.0294813,83.0250255
55.017756,83.003578
55.730563,36.852459
54.950898,82.964348
54.73366,83.07315
55.169344,61.379
45.0230769,39.0138361
54.7283151,55.9675107
45.1009092,38.9697642
55.5526106,37.8589276
55.8079909,37.32228
55.069145,82.92715
55.564984,38.197399
45.058714,38.970193
45.0608504,39.0371441
44.405355,43.8779246
55.6994953,37.9366275
44.8323476,41.383204
45.1314556,38.9107724
47.231618,39.593516
54.94518,82.97545
55.053036,82.897639
56.8760767,53.2594443
55.597446,37.9858757
56.920268,53.2636933
56.3409431,61.9693983
56.8687548,60.6541476
59.91756,30.294578
55.012889,83.000083
53.0863958,91.4060128
54.944443,82.9584
56.8293701,30.1510614
55.1628552,61.4087412
54.7385435,20.4704213
47.2914385,39.7155942
58.049626,38.7849015
55.076145,82.97418
55.8502843,37.6851805
45.1221164,39.0074897
55.9943486,92.9058657
55.054564,82.904237
55.8665392,37.3936866
66.4154262,112.2493926
45.121629,39.008218
55.789899,37.883336
54.9438939,82.9668414
59.9409696,30.486294
45.8685921,40.1424667
55.9739966,92.8872591
58.0445027,38.8273655
57.1711711,65.5554294
45.065991,38.959943
55.821077,37.430462
56.827602,60.676506
55.913762,37.819118
54.8843338,38.0807925
42.933238,47.58297
45.1127781,39.0302038
55.0635871,82.8956671
51.5403081,81.236635
55.0303931,83.0155452
54.9770415,83.0632116
44.6782643,37.7782016
61.8037816,34.3121102
51.6102682,39.2308761
59.919094,30.371456
54.94702,82.972235
55.9716646,37.9642183
54.9996553,83.0075011
56.9910279,60.4758955
47.289061,39.704251
57.9233708,59.9699158
43.585525,39.723062
45.0354482,41.9137771
51.8335853,107.5842223
55.602749,37.988792
55.7434619,52.3959165
56.9909399,60.4749274
55.122288,82.89745
56.8557434,60.6557634
56.2261305,37.4494453
55.576767,38.215302
47.2376055,39.8321403
55.1880559,61.316723
44.7378762,37.7319824
44.905411,37.3331248
60.048251,30.334841
55.0128684,82.9999987
59.939084,30.315879
45.016697,38.963599
55.7725364,38.4457294
64.5394289,40.5169606
55.0195923,83.0111495
55.9704891,37.7403235
53.2102433,50.2077291
55.66317,37.9498976
55.0438597,55.954022
47.2808336,39.7032792
56.1280804,40.4084376
55.310973,38.6543404
54.9457305,82.9618646
56.90673,60.809586
55.072611,82.9007437
55.0447918,82.9039624
61.6725118,50.8208196
55.0303931,83.0155452
55.7434443,37.4866485
55.1196342,61.4684708
55.0303931,83.0155452
55.8360625,38.3961183
55.5443452,37.7209044
50.5782515,36.5624411
55.0303931,83.0155452
53.0916935,91.4154792
61.6954009,50.8084153
55.8230753,49.061663
55.7805636,38.6762181
57.177692,65.55845
57.183066,65.5035123
55.520054,37.586693
55.244629,61.370062
55.8868385,37.1805129
59.8780035,30.4384688
56.2950644,44.0737251
55.0303931,83.0155452
55.8361,37.968185
53.1950306,50.1069518
56.8017903,60.5004993
54.944957,82.96274
55.0181584,83.0081118
55.04937,82.94117
43.5854551,39.7231548
55.7828869,37.5082565
51.3015349,37.9021642
55.828835,37.499382
54.94397,82.963594
55.834835,37.417492
55.064591,82.907197
45.069021,39.022034
60.0680223,30.4056844
54.9471407,82.9585961
55.662842,37.729386
57.1029428,65.6100069
55.0303931,83.0155452
57.880885,59.943591
54.9444466,82.966478
59.994872,30.275108
58.0212523,56.2642644
57.6844468,39.8070146
56.807262,60.6204305
54.9385464,82.943289
44.897193,37.351473
55.835508,37.654718
55.02079,83.01106
55.0256889,82.9844754
68.9629797,33.0698702
55.646045,37.525522
59.905339,30.291569
43.6125373,39.7435063
54.9810478,82.8685335
55.014108,83.0016615
55.87593,37.547719
55.6644379,37.453772
47.2500484,39.7117736
56.1463541,47.2513378
57.988425,56.2480878
55.0303931,83.0155452
